lineId,date,transport,routeReal,route,driver,deliveryId,clientId,clientName,address,postalCode,city,material,product,quantity,unit,productType,weightKg,volumeM3,pallets,returnable,metricSource,priority,priorityScore,serviceMinutesClient,optimizedSequence,loadZone
827963194-UE902-11,2026-02-05,11443209,DR0040,DR0023,850013,827963194,9100733609,BAR FUTBOL LOURDES,CAMINO CAN VILA S/N,08100,MOLLET DEL VALLES,UE902,COPA GRANDE ED,12.0,UN,otros,3.096,0.02167,0.0125,False,ZM040 directa,Media,3.0,16.7,15,8
827963194-0RF1698-12,2026-02-05,11443209,DR0040,DR0023,850013,827963194,9100733609,BAR FUTBOL LOURDES,CAMINO CAN VILA S/N,08100,MOLLET DEL VALLES,0RF1698,/-COCA COLA ZERO IMPORT LATA33 24U,2.0,CAJ,lata,17.2,0.01584,0.0202,False,ZM040 directa,Media,3.0,16.7,15,8
827963195-ED13-13,2026-02-05,11443209,DR0040,DR0023,850013,827963195,9100700812,SUPER NABILA PARETS,Carrer de Conestable de Portugal 8,08150,PARETS DEL VALLES,ED13,ESTRELLA DAMM 1/3 RET. PP,8.0,CAJ,caja,136.0,0.06336,0.13333,False,ZM040 directa,Media,4.0,9.1,7,4
827963195-CJ13-14,2026-02-05,11443209,DR0040,DR0023,850013,827963195,9100700812,SUPER NABILA PARETS,Carrer de Conestable de Portugal 8,08150,PARETS DEL VALLES,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,8.0,CAJ,retornable,0.0,0.0,0.0,True,sin ZM040,Media,4.0,9.1,7,4
827963195-ED15LN-15,2026-02-05,11443209,DR0040,DR0023,850013,827963195,9100700812,SUPER NABILA PARETS,Carrer de Conestable de Portugal 8,08150,PARETS DEL VALLES,ED15LN,ESTRELLA DAMM 1/5 LN,2.0,CAJ,caja,28.68,0.012,0.02857,False,ZM040 directa,Media,4.0,9.1,7,4
827963195-CJ15-16,2026-02-05,11443209,DR0040,DR0023,850013,827963195,9100700812,SUPER NABILA PARETS,Carrer de Conestable de Portugal 8,08150,PARETS DEL VALLES,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,2.0,CAJ,retornable,0.0,0.0,0.0,True,sin ZM040,Media,4.0,9.1,7,4
827963196-ED13-17,2026-02-05,11443209,DR0040,DR0023,850013,827963196,9100692245,Bar 20 PA K,Avinguda de Catalunya 133,08150,PARETS DEL VALLES,ED13,ESTRELLA DAMM 1/3 RET. PP,20.0,CAJ,caja,340.0,0.1584,0.33333,False,ZM040 directa,Alta,5.5,16.2,1,1
827963196-CJ13-18,2026-02-05,11443209,DR0040,DR0023,850013,827963196,9100692245,Bar 20 PA K,Avinguda de Catalunya 133,08150,PARETS DEL VALLES,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,20.0,CAJ,retornable,0.0,0.0,0.0,True,sin ZM040,Alta,5.5,16.2,1,1
827963196-0AG0007-19,2026-02-05,11443209,DR0040,DR0023,850013,827963196,9100692245,Bar 20 PA K,Avinguda de Catalunya 133,08150,PARETS DEL VALLES,0AG0007,"FONT D.OR NATURAL 1,5L PET 12U",10.0,CAJ,caja,190.0,0.18,0.25,False,ZM040 directa,Alta,5.5,16.2,1,1
827963196-0AG0004-20,2026-02-05,11443209,DR0040,DR0023,850013,827963196,9100692245,Bar 20 PA K,Avinguda de Catalunya 133,08150,PARETS DEL VALLES,0AG0004,FONT D.OR NATURAL 1/2 PET 24U,10.0,CAJ,caja,130.0,0.12,0.15873,False,ZM040 directa,Alta,5.5,16.2,1,1
827963196-0LT0235-21,2026-02-05,11443209,DR0040,DR0023,850013,827963196,9100692245,Bar 20 PA K,Avinguda de Catalunya 133,08150,PARETS DEL VALLES,0LT0235,LA LEVANTINA AVENA ESP.HOST 1L 6U,1.0,CAJ,caja,6.5,0.006,0.00833,False,ZM040 directa,Alta,5.5,16.2,1,1
827963196-0LI0204-22,2026-02-05,11443209,DR0040,DR0023,850013,827963196,9100692245,Bar 20 PA K,Avinguda de Catalunya 133,08150,PARETS DEL VALLES,0LI0204,J&B RARE WHISKY 1L,6.0,BOT,otros,0.0,0.006,0.005,False,ZM040 directa,Alta,5.5,16.2,1,1
827963196-0LI0692-23,2026-02-05,11443209,DR0040,DR0023,850013,827963196,9100692245,Bar 20 PA K,Avinguda de Catalunya 133,08150,PARETS DEL VALLES,0LI0692,JOHNNIE WALKER RED LAB WHISKY 1L,3.0,BOT,otros,4.44,0.003,0.00595,False,ZM040 directa,Alta,5.5,16.2,1,1
827963196-0AM1282-24,2026-02-05,11443209,DR0040,DR0023,850013,827963196,9100692245,Bar 20 PA K,Avinguda de Catalunya 133,08150,PARETS DEL VALLES,0AM1282,BARGALLO OLI GIRASOL 5L,3.0,UN,otros,15.0,0.0,0.02,False,ZM040 directa,Alta,5.5,16.2,1,1
827963196-0AM0292-25,2026-02-05,11443209,DR0040,DR0023,850013,827963196,9100692245,Bar 20 PA K,Avinguda de Catalunya 133,08150,PARETS DEL VALLES,0AM0292,"BISCUITS GALICIA MINI MAGD CHOCO 1,5KG",3.0,CAJ,caja,0.0,0.05114,0.03571,False,ZM040 directa,Alta,5.5,16.2,1,1
827963196-0LM1712-26,2026-02-05,11443209,DR0040,DR0023,850013,827963196,9100692245,Bar 20 PA K,Avinguda de Catalunya 133,08150,PARETS DEL VALLES,0LM1712,BALNIC LAVAVAJILLAS MANUAL PH NEUTRO 5KG,4.0,UN,otros,20.0,0.0,0.0,False,ZM040 directa,Alta,5.5,16.2,1,1
827963196-0LM0091-27,2026-02-05,11443209,DR0040,DR0023,850013,827963196,9100692245,Bar 20 PA K,Avinguda de Catalunya 133,08150,PARETS DEL VALLES,0LM0091,TOALLA SECAMANOS 2C 20/230U,1.0,CAJ,caja,5.0,1e-05,0.02222,False,ZM040 directa,Alta,5.5,16.2,1,1
827963196-0AG0004-28,2026-02-05,11443209,DR0040,DR0023,850013,827963196,9100692245,Bar 20 PA K,Avinguda de Catalunya 133,08150,PARETS DEL VALLES,0AG0004,FONT D.OR NATURAL 1/2 PET 24U,1.0,CAJ,caja,13.0,0.012,0.01587,False,ZM040 directa,Alta,5.5,16.2,1,1
827963196-0AG0007-29,2026-02-05,11443209,DR0040,DR0023,850013,827963196,9100692245,Bar 20 PA K,Avinguda de Catalunya 133,08150,PARETS DEL VALLES,0AG0007,"FONT D.OR NATURAL 1,5L PET 12U",1.0,CAJ,caja,19.0,0.018,0.025,False,ZM040 directa,Alta,5.5,16.2,1,1
827963197-ED13-30,2026-02-05,11443209,DR0040,DR0023,850013,827963197,9100669500,Bar Restaurant Tres Roses,Carrer de Mary Santpere 1,08150,PARETS DEL VALLES,ED13,ESTRELLA DAMM 1/3 RET. PP,6.0,CAJ,caja,102.0,0.04752,0.1,False,ZM040 directa,Media,4.0,10.4,5,3
827963197-CJ13-31,2026-02-05,11443209,DR0040,DR0023,850013,827963197,9100669500,Bar Restaurant Tres Roses,Carrer de Mary Santpere 1,08150,PARETS DEL VALLES,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,6.0,CAJ,retornable,0.0,0.0,0.0,True,sin ZM040,Media,4.0,10.4,5,3
827963197-VE12SP-32,2026-02-05,11443209,DR0040,DR0023,850013,827963197,9100669500,Bar Restaurant Tres Roses,Carrer de Mary Santpere 1,08150,PARETS DEL VALLES,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,2.0,CAJ,caja,25.8,0.024,0.03175,False,ZM040 directa,Media,4.0,10.4,5,3
827963197-0LT0235-33,2026-02-05,11443209,DR0040,DR0023,850013,827963197,9100669500,Bar Restaurant Tres Roses,Carrer de Mary Santpere 1,08150,PARETS DEL VALLES,0LT0235,LA LEVANTINA AVENA ESP.HOST 1L 6U,1.0,CAJ,caja,6.5,0.006,0.00833,False,ZM040 directa,Media,4.0,10.4,5,3
827963197-0LT0033-34,2026-02-05,11443209,DR0040,DR0023,850013,827963197,9100669500,Bar Restaurant Tres Roses,Carrer de Mary Santpere 1,08150,PARETS DEL VALLES,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",4.0,CAJ,caja,36.0,0.036,0.05,False,ZM040 directa,Media,4.0,10.4,5,3
827963197-0AM0783-35,2026-02-05,11443209,DR0040,DR0023,850013,827963197,9100669500,Bar Restaurant Tres Roses,Carrer de Mary Santpere 1,08150,PARETS DEL VALLES,0AM0783,LOTUS BISCOFF 300U,2.0,CAJ,caja,4.36,0.01505,0.0119,False,ZM040 directa,Media,4.0,10.4,5,3
827963197-0AM0783-36,2026-02-05,11443209,DR0040,DR0023,850013,827963197,9100669500,Bar Restaurant Tres Roses,Carrer de Mary Santpere 1,08150,PARETS DEL VALLES,0AM0783,LOTUS BISCOFF 300U,1.0,ZPR,otros,0.0,0.0,0.00595,False,PAL prorrateado,Media,4.0,10.4,5,3
827963198-FDT13-37,2026-02-05,11443209,DR0040,DR0023,850013,827963198,9100661113,BAR LA ESQUINITA,Avinguda de Catalunya 102,08150,PARETS DEL VALLES,FDT13,FREE DAMM TOSTADA 1/3 RET. PP,1.0,CAJ,caja,17.0,0.00792,0.01667,False,ZM040 directa,Normal,2.0,7.7,2,2
827963198-CJ13-38,2026-02-05,11443209,DR0040,DR0023,850013,827963198,9100661113,BAR LA ESQUINITA,Avinguda de Catalunya 102,08150,PARETS DEL VALLES,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1.0,CAJ,retornable,0.0,0.0,0.0,True,sin ZM040,Normal,2.0,7.7,2,2
827963198-FDT13-39,2026-02-05,11443209,DR0040,DR0023,850013,827963198,9100661113,BAR LA ESQUINITA,Avinguda de Catalunya 102,08150,PARETS DEL VALLES,FDT13,FREE DAMM TOSTADA 1/3 RET. PP,1.0,CAJ,caja,17.0,0.00792,0.01667,False,ZM040 directa,Normal,2.0,7.7,2,2
827963198-CJ13-40,2026-02-05,11443209,DR0040,DR0023,850013,827963198,9100661113,BAR LA ESQUINITA,Avinguda de Catalunya 102,08150,PARETS DEL VALLES,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1.0,CAJ,retornable,0.0,0.0,0.0,True,sin ZM040,Normal,2.0,7.7,2,2
827963199-ED13-41,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,ED13,ESTRELLA DAMM 1/3 RET. PP,9.0,CAJ,caja,153.0,0.07128,0.15,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-CJ13-42,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,9.0,CAJ,retornable,0.0,0.0,0.0,True,sin ZM040,Media,4.0,25.6,8,5
827963199-ED15LN-43,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,ED15LN,ESTRELLA DAMM 1/5 LN,1.0,CAJ,caja,14.34,0.006,0.01429,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-CJ15-44,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,1.0,CAJ,retornable,0.0,0.0,0.0,True,sin ZM040,Media,4.0,25.6,8,5
827963199-FDL13-45,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,FDL13,FREE DAMM LIMON 1/3 RET. PP,1.0,CAJ,caja,17.0,0.00792,0.01667,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-CJ13-46,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1.0,CAJ,retornable,0.0,0.0,0.0,True,sin ZM040,Media,4.0,25.6,8,5
827963199-FDT13-47,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,FDT13,FREE DAMM TOSTADA 1/3 RET. PP,1.0,CAJ,caja,17.0,0.00792,0.01667,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-CJ13-48,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1.0,CAJ,retornable,0.0,0.0,0.0,True,sin ZM040,Media,4.0,25.6,8,5
827963199-DL20-49,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,DL20,DAMM LEMON BARRIL 20L.,2.0,BRL,barril,55.192,0.04,0.13333,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-BRL20V-50,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,BRL20V,BARRIL INOX 20L. TANQUETA A16,2.0,BRL,barril,0.0,0.0,0.0,False,sin ZM040,Media,4.0,25.6,8,5
827963199-ED30-51,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,ED30,ESTRELLA DAMM BARRIL 30,3.0,BRL,barril,128.364,0.09,0.5,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-BRL30V-52,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,BRL30V,BARRIL INOX 30L. EURONORMA,3.0,BRL,barril,0.0,0.0,0.0,False,sin ZM040,Media,4.0,25.6,8,5
827963199-TU20-53,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,TU20,TURIA BARRIL 20L.,2.0,BRL,barril,54.784,0.04,0.13333,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-BRL20V-54,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,BRL20V,BARRIL INOX 20L. TANQUETA A16,2.0,BRL,barril,0.0,0.0,0.0,False,sin ZM040,Media,4.0,25.6,8,5
827963199-VE12-55,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,VE12,AGUA VERI 1/2 VIDRIO RET.,6.0,CAJ,caja,122.436,0.06,0.12,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-CJ12V-56,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,CJ12V,CAJAS COMPLETAS 1/2 V,6.0,CAJ,caja,0.0,0.0,0.0,False,sin ZM040,Media,4.0,25.6,8,5
827963199-VE32SP-57,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,VE32SP,"AGUA VERI 1,5L PET CAJA 12U.",2.0,CAJ,caja,39.12,0.036,0.04444,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-0AG0183-58,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,0AG0183,VICHY CATALAN GAS 30CL RET 24U,2.0,CAJ,caja,28.2,0.0144,0.04167,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-3ENV0236-59,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,2.0,CAJ,caja,0.0,0.0,0.0,False,sin ZM040,Media,4.0,25.6,8,5
827963199-0LT0235-60,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,0LT0235,LA LEVANTINA AVENA ESP.HOST 1L 6U,1.0,CAJ,caja,6.5,0.006,0.00833,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-0LT0009-61,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,0LT0009,LETONA GRAN CREME 1L VR 12U,4.0,CAJ,caja,91.0,0.048,0.125,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-3ENV1281-62,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,3ENV1281,C.C. LECHE LETONA (NUEVO),4.0,CAJ,caja,0.0,0.0,0.0,False,sin ZM040,Media,4.0,25.6,8,5
827963199-0RF0124-63,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,0RF0124,/-COCA COLA 2L PET 6U,2.0,CAJ,caja,24.0,0.024,0.03125,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-0RF0019-64,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,0RF0019,/-COCA COLA LATA 33CL 24U,1.0,CAJ,lata,8.6,0.00792,0.00926,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-NTL13B24-65,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,NTL13B24,NESTEA LIMON 1/3 SR BANDEJA 24U. P.HT,1.0,CAJ,caja,13.861,0.00792,0.01587,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-0ZU0031-66,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,0ZU0031,JUVER NECTAR MELOCOTON 20CL 24U,1.0,CAJ,caja,9.0,0.0048,0.01136,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-0ZU0032-67,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,0ZU0032,JUVER NECTAR PIÑA 20CL 24U,1.0,CAJ,caja,9.0,0.0048,0.01136,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-0LI0719-68,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,0LI0719,LAGAR DO FRADE ORUJO DE HIERBAS PET 3L,1.0,BOT,otros,0.0,0.003,0.00417,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-0LI0572-69,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,0LI0572,FLOR DE CAÑA 5 AÑOS 70CL,2.0,BOT,otros,0.0,0.0,0.0,False,ZM040 sin peso/volumen,Media,4.0,25.6,8,5
827963199-0AM0783-70,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,0AM0783,LOTUS BISCOFF 300U,1.0,CAJ,caja,2.18,0.00752,0.00595,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-TB8-71,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,TB8,BOTELLAS CARBONICO 8 KILOS,1.0,TB,caja,26.0,0.008,0.04,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-TB8V-72,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,TB8V,BOTELLAS CARBONICO 8 KG.VACIOS,1.0,TB,retornable,0.0,0.0,0.0,True,sin ZM040,Media,4.0,25.6,8,5
827963199-0AM0359-73,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,0AM0359,REDONDO ACEITUNA PARTIDA 9 KG.,1.0,UN,otros,0.0,0.0,0.00694,False,PAL prorrateado,Media,4.0,25.6,8,5
827963199-0AM5394-74,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,0AM5394,PROEZA ATUN A.GIRASOL BOLSA 1KG,16.0,UN,otros,0.0,0.0,0.01852,False,PAL prorrateado,Media,4.0,25.6,8,5
827963199-FDT13-75,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,FDT13,FREE DAMM TOSTADA 1/3 RET. PP,1.0,CAJ,caja,17.0,0.00792,0.01667,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-CJ13-76,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1.0,CAJ,retornable,0.0,0.0,0.0,True,sin ZM040,Media,4.0,25.6,8,5
827963199-FDL13-77,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,FDL13,FREE DAMM LIMON 1/3 RET. PP,1.0,CAJ,caja,17.0,0.00792,0.01667,False,ZM040 directa,Media,4.0,25.6,8,5
827963199-CJ13-78,2026-02-05,11443209,DR0040,DR0023,850013,827963199,9100617475,VERMUTERIA Y TAPERIA CAMACHO,AVENIDA PEDRA DEL DIABLE 28,08150,PARETS DEL VALLES,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1.0,CAJ,retornable,0.0,0.0,0.0,True,sin ZM040,Media,4.0,25.6,8,5
